MIN.	MAX.	Input.
0.13	1.60	2.7
0.15	1.66	2.8
0.33	1.80	2.9
0.50	2.01	3
0.68	2.23	3.1
0.85	2.44	3.2
1.03	2.65	3.3
1.20	3.00	3.4
1.57	3.70	3.5
1.93	4.75	3.6
2.30	5.80	3.7
2.90	6.85	3.8
3.55	7.90	3.9
4.28	8.95	4
5.00	10.00	4.1
5.71	11.17	4.2
6.43	12.33	4.3
7.14	13.50	4.4
7.86	14.67	4.5
8.57	15.83	4.6
9.29	17.00	4.7
10.00	19.00	4.8
11.25	24.00	4.9
12.50	31.50	5
14.00	36.00	5.1
16.80	39.75	5.2
21.20	43.50	5.3
25.60	47.25	5.4
30.00	51.00	5.5
33.00	56.00	5.6
36.00	62.29	5.7
39.00	68.57	5.8
42.00	74.86	5.9
45.00	81.14	6
48.00	87.43	6.1
53.00	93.71	6.2
62.00	100.00	6.3
74.67	100.00	6.4
87.33	100.00	6.5
100.00	100.00	6.6
