MIN.	MAX.	Input.
0.15	0.70	2.7
0.15	0.70	2.8
0.28	0.92	2.9
0.41	1.14	3
0.54	1.35	3.1
0.67	1.57	3.2
0.80	1.78	3.3
1.00	2.10	3.4
1.36	2.75	3.5
1.79	3.50	3.6
2.22	4.25	3.7
2.65	5.00	3.8
3.08	5.75	3.9
3.51	6.50	4
3.94	7.35	4.1
4.57	8.45	4.2
5.28	9.76	4.3
6.08	11.23	4.4
6.98	12.89	4.5
7.99	14.75	4.6
9.11	16.83	4.7
10.37	19.15	4.8
11.76	21.73	4.9
13.31	24.59	5
15.03	27.76	5.1
16.93	31.27	5.2
19.03	35.15	5.3
21.34	39.41	5.4
23.88	44.11	5.5
26.67	49.26	5.6
29.73	54.90	5.7
33.07	61.08	5.8
36.73	67.83	5.9
40.71	75.19	6
45.05	83.21	6.1
49.77	91.93	6.2
58.13	100.00	6.3
71.58	100.00	6.4
85.18	100.00	6.5
100.00	100.00	6.6

